"","index","airport","city","country","IATA","ICAO","latitude","longitude","altitude","timezone","DST","tz_database","type","source"
"377",380,"Vilshofen Airport","Vilshofen","Germany","\N","EDMV",48.6349983215332,13.1955556869507,991,"1","E","Europe/Berlin","airport","OurAirports"
"378",381,"Leutkirch-Unterzeil Airport","Leutkirch","Germany","\N","EDNL",47.8588905334473,10.0141668319702,2100,"1","E","Europe/Berlin","airport","OurAirports"
"379",382,"Friedrichshafen Airport","Friedrichshafen","Germany","FDH","EDNY",47.6712989807,9.51148986816,1367,"1","E","Europe/Berlin","airport","OurAirports"
"380",383,"Schwerin Parchim Airport","Parchim","Germany","SZW","EDOP",53.426998,11.7834,166,"1","E","Europe/Berlin","airport","OurAirports"
"381",384,"Stendal-Borstel Airport","Stendal","Germany","ZSN","EDOV",52.6288871765137,11.8186111450195,184,"1","E","Europe/Berlin","airport","OurAirports"
"382",385,"Aalen-Heidenheim/Elchingen Airport","Aalen-heidenheim","Germany","\N","EDPA",48.7777786254883,10.2647218704224,1916,"1","E","Europe/Berlin","airport","OurAirports"
"383",386,"Bayreuth Airport","Bayreuth","Germany","BYU","EDQD",49.9850006103516,11.6400003433228,1601,"1","E","Europe/Berlin","airport","OurAirports"
"384",387,"Burg Feuerstein Airport","Burg Feuerstein","Germany","\N","EDQE",49.794166564941,11.133610725403,1673,"1","E","Europe/Berlin","airport","OurAirports"
"385",388,"Hof-Plauen Airport","Hof","Germany","HOQ","EDQM",50.2886123657227,11.8563890457153,1959,"1","E","Europe/Berlin","airport","OurAirports"
"386",389,"Haßfurt-Schweinfurt Airport","Hassfurt","Germany","\N","EDQT",50.0180549621582,10.5294437408447,719,"1","E","Europe/Berlin","airport","OurAirports"
"387",390,"Koblenz-Winningen Airport","Koblenz","Germany","ZNV","EDRK",50.3255577087402,7.5286111831665,640,"1","E","Europe/Berlin","airport","OurAirports"
"388",391,"Trier-Föhren Airport","Trier","Germany","ZQF","EDRT",49.8638877868652,6.78749990463257,666,"1","E","Europe/Berlin","airport","OurAirports"
"389",392,"Speyer Airport","Speyer","Germany","ZQC","EDRY",49.3047218322754,8.45138931274414,312,"1","E","Europe/Berlin","airport","OurAirports"
"390",393,"Zweibrücken Airport","Zweibruecken","Germany","ZQW","EDRZ",49.209400177002,7.40055990219116,1132,"1","E","Europe/Berlin","airport","OurAirports"
"391",394,"Donaueschingen-Villingen Airport","Donaueschingen","Germany","ZQL","EDTD",47.9733314514,8.52222156525,2231,"1","E","Europe/Berlin","airport","OurAirports"
"392",395,"Freiburg i. Br. Airport","Freiburg","Germany","\N","EDTF",48.0227775574,7.83249998093,801,"1","E","Europe/Berlin","airport","OurAirports"
"393",396,"Mengen-Hohentengen Airport","Mengen","Germany","\N","EDTM",48.0538902282715,9.37277793884277,1818,"1","E","Europe/Berlin","airport","OurAirports"
"394",397,"Adolf Würth Airport","Schwaebisch Hall","Germany","\N","EDTY",49.1183319092,9.78388881683,1299,"1","E","Europe/Berlin","airport","OurAirports"
"395",398,"Finsterwalde/Schacksdorf Airport","Soest","Germany","\N","EDUS",51.607498,13.743611,384,"1","E","Europe/Berlin","airport","OurAirports"
"396",399,"Braunschweig Wolfsburg Airport","Braunschweig","Germany","BWE","EDVE",52.319199,10.5561,295,"1","E","Europe/Berlin","airport","OurAirports"
"397",400,"Kassel-Calden Airport","Kassel","Germany","KSF","EDVK",51.417273,9.384967,820,"1","E","Europe/Berlin","airport","OurAirports"
"398",401,"Hildesheim Airport","Hildesheim","Germany","\N","EDVM",52.1813888549805,9.94638919830322,292,"1","E","Europe/Berlin","airport","OurAirports"
"399",402,"Bremerhaven Airport","Bremerhaven","Germany","BRV","EDWB",53.506943,8.572778,10,"1","E","Europe/Berlin","airport","OurAirports"
"400",403,"Emden Airport","Emden","Germany","EME","EDWE",53.3911094665527,7.22749996185303,3,"1","E","Europe/Berlin","airport","OurAirports"
"401",404,"Leer-Papenburg Airport","Leer","Germany","\N","EDWF",53.2719421386719,7.44166707992554,3,"1","E","Europe/Berlin","airport","OurAirports"
"402",405,"Wilhelmshaven-Mariensiel Airport","Wilhelmshaven","Germany","WVN","EDWI",53.5022201538086,8.05222225189209,16,"1","E","Europe/Berlin","airport","OurAirports"
"403",406,"Borkum Airport","Borkum","Germany","BMK","EDWR",53.5963897705,6.70916700363,3,"1","E","Europe/Berlin","airport","OurAirports"
